,text_data,source,best_key_word,category,label
0,goal is about promoting peaceful and inclusive societies providing access to justice for all and building effective accountable and inclusive institutions at all levels,https://www.un.org/sustainabledevelopment/peace-justice,inclusive institutions,"Goal 16: Peace, Justice, and Strong Instiutions",16
1, people everywhere should be free of fear from all forms of violence and feel safe as they go about their lives whatever their ethnicity faith or sexual orientation,https://www.un.org/sustainabledevelopment/peace-justice,free fear,"Goal 16: Peace, Justice, and Strong Instiutions",16
2,however ongoing and new violent conflicts around the world are derailing the global path to peace and achievement of goal ,https://www.un.org/sustainabledevelopment/peace-justice,conflicts world,"Goal 16: Peace, Justice, and Strong Instiutions",16
3, alarmingly the year witnessed a more than per cent increase in conflict related civilian deaths the first since the adoption of agenda largely due to the war in ukraine,https://www.un.org/sustainabledevelopment/peace-justice,agenda 2030,"Goal 16: Peace, Justice, and Strong Instiutions",16
4,high levels of armed violence and insecurity have a destructive impact on a country s development while sexual violence crime exploitation and torture are prevalent where there is conflict or no rule of law and countries must take measures to protect those who are most at risk,https://www.un.org/sustainabledevelopment/peace-justice,violence insecurity,"Goal 16: Peace, Justice, and Strong Instiutions",16
5,governments civil society and communities need to work together to find lasting solutions to conflict and insecurity,https://www.un.org/sustainabledevelopment/peace-justice,solutions conflict,"Goal 16: Peace, Justice, and Strong Instiutions",16
6, strengthening the rule of law and promoting human rights is key to this process as is reducing the flow of illicit arms combating corruption and ensuring inclusive participation at all times,https://www.un.org/sustainabledevelopment/peace-justice,strengthening rule,"Goal 16: Peace, Justice, and Strong Instiutions",16
7,high levels of armed violence and insecurity have a destructive impact on a country s development,https://www.un.org/sustainabledevelopment/peace-justice,armed violence,"Goal 16: Peace, Justice, and Strong Instiutions",16
8, sexual violence crime exploitation and torture are prevalent where there is conflict or no rule of law,https://www.un.org/sustainabledevelopment/peace-justice,torture prevalent,"Goal 16: Peace, Justice, and Strong Instiutions",16
9,governments civil society and communities need to work together to find lasting solutions to conflict and insecurity,https://www.un.org/sustainabledevelopment/peace-justice,solutions conflict,"Goal 16: Peace, Justice, and Strong Instiutions",16
