,text_data,source,best_key_word,category,label
0,great strides have been made in improving people s health in recent years,https://www.un.org/sustainabledevelopment/health,strides improving,Goal 3: Good Health and Well-Being,3
1, out of countries or areas have already met or are on track to meet the sdg target on under mortality,https://www.un.org/sustainabledevelopment/health,target mortality,Goal 3: Good Health and Well-Being,3
2, effective hiv treatment has cut global aids related deaths by per cent since and at least one neglected tropical disease has been eliminated in countries,https://www.un.org/sustainabledevelopment/health,hiv treatment,Goal 3: Good Health and Well-Being,3
3,however inequalities in health care access still persist,https://www.un.org/sustainabledevelopment/health,inequalities health,Goal 3: Good Health and Well-Being,3
4, the covid pandemic and other ongoing crises have impeded progress towards goal ,https://www.un.org/sustainabledevelopment/health,pandemic ongoing,Goal 3: Good Health and Well-Being,3
5, childhood vaccinations have experienced the largest decline in three decades and tuberculosis and malaria deaths have increased compared with pre pandemic levels,https://www.un.org/sustainabledevelopment/health,childhood vaccinations,Goal 3: Good Health and Well-Being,3
6,the sustainable development goals make a bold commitment to end the epidemics of aids tuberculosis malaria and other communicable diseases by ,https://www.un.org/sustainabledevelopment/health,diseases 2030,Goal 3: Good Health and Well-Being,3
7, the aim is to achieve universal health coverage and provide access to safe and affordable medicines and vaccines for all,https://www.un.org/sustainabledevelopment/health,universal health,Goal 3: Good Health and Well-Being,3
8,to overcome these setbacks and address long standing health care shortcomings increased investment in health systems is needed to support countries in their recovery and build resilience against future health threats,https://www.un.org/sustainabledevelopment/health,health systems,Goal 3: Good Health and Well-Being,3
9,a significant portion of the global population still lacks access to vital healthcare services,https://www.un.org/sustainabledevelopment/health,population lacks,Goal 3: Good Health and Well-Being,3
10, to bridge this gap and ensure equitable healthcare provision addressing disparities is critical,https://www.un.org/sustainabledevelopment/health,addressing disparities,Goal 3: Good Health and Well-Being,3
11, various determinants of health including environmental and commercial factors need attention to pave the way for achieving our common objective of health for all and achieving the sustainable development goal targets,https://www.un.org/sustainabledevelopment/health,health achieving,Goal 3: Good Health and Well-Being,3
12,ensuring healthy lives for all requires a strong commitment but the benefits outweigh the cost,https://www.un.org/sustainabledevelopment/health,healthy lives,Goal 3: Good Health and Well-Being,3
13, healthy people are the foundation for healthy economies,https://www.un.org/sustainabledevelopment/health,healthy economies,Goal 3: Good Health and Well-Being,3
14, countries worldwide are urged to take immediate and decisive actions to predict and counteract health challenges,https://www.un.org/sustainabledevelopment/health,health challenges,Goal 3: Good Health and Well-Being,3
15,this becomes especially critical in safeguarding vulnerable population groups and individuals residing in regions burdened by high disease prevalence,https://www.un.org/sustainabledevelopment/health,vulnerable population,Goal 3: Good Health and Well-Being,3
16, by doing so we can strengthen health systems and foster resilience in the face of health adversities,https://www.un.org/sustainabledevelopment/health,foster resilience,Goal 3: Good Health and Well-Being,3
17,immunization is one of the world s most successful and cost effective health interventions,https://www.un.org/sustainabledevelopment/health,immunization world,Goal 3: Good Health and Well-Being,3
18, however the alarming decline in childhood vaccination the largest sustained decline in childhood vaccinations in approximately years is leaving millions of children at risk from devastating but preventable diseases,https://www.un.org/sustainabledevelopment/health,childhood vaccinations,Goal 3: Good Health and Well-Being,3
19,universal health coverage uhc aims to ensure that everyone can access quality health services without facing financial hardship,https://www.un.org/sustainabledevelopment/health,universal health,Goal 3: Good Health and Well-Being,3
20, while efforts to combat infectious diseases like hiv tb and malaria led to significant expansions in service coverage between and progress has since slowed,https://www.un.org/sustainabledevelopment/health,hiv tb,Goal 3: Good Health and Well-Being,3
21,inequalities continue to be a fundamental challenge for uhc,https://www.un.org/sustainabledevelopment/health,challenge uhc,Goal 3: Good Health and Well-Being,3
22, coverage of reproductive maternal child and adolescent health services tends to be higher among those whoare richer more educated and living in urban areas especially in low income countries,https://www.un.org/sustainabledevelopment/health,coverage reproductive,Goal 3: Good Health and Well-Being,3
23,you can start by promoting and protecting your own health and the health of those around you by making well informed choices practicing safe sex and vaccinating your children,https://www.un.org/sustainabledevelopment/health,vaccinating children,Goal 3: Good Health and Well-Being,3
24,you can raise awareness in your community about the importance of good health healthy lifestyles as well as people s right to quality health care services especially for the most vulnerable such as women and children,https://www.un.org/sustainabledevelopment/health,awareness community,Goal 3: Good Health and Well-Being,3
25,you can also hold your government local leaders and other decision makers accountable to their commitments to improve people access to health and health care,https://www.un.org/sustainabledevelopment/health,health care,Goal 3: Good Health and Well-Being,3
26,facts and figuresgoal targetslinksfacts and figures,https://www.un.org/sustainabledevelopment/health,targetslinksfacts figures,Goal 3: Good Health and Well-Being,3
27,there has been some progress on improving global health in recent years,https://www.un.org/sustainabledevelopment/health,global health,Goal 3: Good Health and Well-Being,3
28, for example out of countries or areas have already met or are on track to meet the sdg target on under mortality,https://www.un.org/sustainabledevelopment/health,target mortality,Goal 3: Good Health and Well-Being,3
29, effective hiv treatment has cut global aids related deaths by per cent since and at least one neglected tropical disease has been eliminated in countries,https://www.un.org/sustainabledevelopment/health,hiv treatment,Goal 3: Good Health and Well-Being,3
30,however insufficient progress has been made in other areas such as on reducing maternal mortality and expanding universal health coverage,https://www.un.org/sustainabledevelopment/health,reducing maternal,Goal 3: Good Health and Well-Being,3
31, globally approximately women died every day from pregnancy,https://www.un.org/sustainabledevelopment/health,women died,Goal 3: Good Health and Well-Being,3
32, and million people were pushed or further pushed into extreme poverty in due to out of pocket payments for health,https://www.un.org/sustainabledevelopment/health,poverty 2019,Goal 3: Good Health and Well-Being,3
33,the covid pandemic and ongoing crises have impeded progress towards goal ,https://www.un.org/sustainabledevelopment/health,pandemic ongoing,Goal 3: Good Health and Well-Being,3
34, childhood vaccinations have experienced the largest decline in three decades and tuberculosis and malaria deaths have increased compared with pre pandemic levels,https://www.un.org/sustainabledevelopment/health,childhood vaccinations,Goal 3: Good Health and Well-Being,3
