,text_data,source,best_key_word,category,label
0,access to safe water sanitation and hygiene is the most basic human need for health and well being,https://www.un.org/sustainabledevelopment/water-and-sanitation,sanitation,Goal 6: Clean Water and Sanitation,6
1, billions of people will lack access to these basic services in unless progress quadruples,https://www.un.org/sustainabledevelopment/water-and-sanitation,services 2030,Goal 6: Clean Water and Sanitation,6
2, demand for water is rising owing to rapid population growth urbanization and increasing water needs from agriculture industry and energy sectors,https://www.un.org/sustainabledevelopment/water-and-sanitation,demand water,Goal 6: Clean Water and Sanitation,6
3, the demand for water has outpaced population growth and half the world s population is already experiencing severe water scarcity at least one month a year,https://www.un.org/sustainabledevelopment/water-and-sanitation,water scarcity,Goal 6: Clean Water and Sanitation,6
4, water scarcity is projected to increase with the rise of global temperatures as a result of climate change,https://www.un.org/sustainabledevelopment/water-and-sanitation,water scarcity,Goal 6: Clean Water and Sanitation,6
5, investments in infrastructure and sanitation facilities protection and restoration of water related ecosystems and hygiene education are among the steps necessary to ensure universal access to safe and affordable drinking water for all by and improving water use efficiency is one key to reducing water stress,https://www.un.org/sustainabledevelopment/water-and-sanitation,infrastructure sanitation,Goal 6: Clean Water and Sanitation,6
6, between and the proportion of the world s population with access to safely managed drinking water increased from per cent to per cent,https://www.un.org/sustainabledevelopment/water-and-sanitation,drinking water,Goal 6: Clean Water and Sanitation,6
7, access to water sanitation and hygiene is a human right,https://www.un.org/sustainabledevelopment/water-and-sanitation,water sanitation,Goal 6: Clean Water and Sanitation,6
8, to get back on track key strategies include increasing sector wide investment and capacity building promoting innovation and evidence based action enhancing cross sectoral coordination and cooperation among all stakeholders and adopting a more integrated and holistic approach to water management,https://www.un.org/sustainabledevelopment/water-and-sanitation,water management,Goal 6: Clean Water and Sanitation,6
9, water is essential not only to health but also to poverty reduction food security peace and human rights ecosystems and education,https://www.un.org/sustainabledevelopment/water-and-sanitation,water essential,Goal 6: Clean Water and Sanitation,6
10, nevertheless countries face growing challenges linked to water scarcity water pollution degraded water related ecosystems and cooperation over transboundary water basins,https://www.un.org/sustainabledevelopment/water-and-sanitation,water scarcity,Goal 6: Clean Water and Sanitation,6
11, billion people still lacked safely managed drinking water including million without a basic water service ,https://www.un.org/sustainabledevelopment/water-and-sanitation,drinking water,Goal 6: Clean Water and Sanitation,6
12, billion people lacked safely managed sanitation including ,https://www.un.org/sustainabledevelopment/water-and-sanitation,managed sanitation,Goal 6: Clean Water and Sanitation,6
13, billion without basic sanitation services and billion lacked a basic handwashing facility including million with no handwashing facility at all,https://www.un.org/sustainabledevelopment/water-and-sanitation,million handwashing,Goal 6: Clean Water and Sanitation,6
14, by managing our water sustainably we are also able to better manage our production of food and energy and contribute to decent work and economic growth,https://www.un.org/sustainabledevelopment/water-and-sanitation,managing water,Goal 6: Clean Water and Sanitation,6
15, moreover we can preserve our water ecosystems their biodiversity and take action on climate change,https://www.un.org/sustainabledevelopment/water-and-sanitation,water ecosystems,Goal 6: Clean Water and Sanitation,6
